userID,Duration,Page,Order,Language,TaskPage,Answer
3545,14.200000000000273,1,2,Chinese,1,1
3545,4.899999999999636,1,2,Chinese,2,1
3545,5.099999999999909,2,0,Chinese,2,1
3545,7.400000000000091,2,0,Chinese,4,1
3545,12.699999999999818,3,3,Chinese,3,1
3545,36.40000000000009,3,3,Chinese,4,1
3545,0.6999999999998181,3,3,Chinese,5,1
3545,1.099999999999909,4,4,Chinese,4,1
3545,4.400000000000091,8,3,Chinese,4,1
3545,7.199999999999818,8,3,Chinese,5,1
3545,2.099999999999909,9,4,Chinese,4,1
3545,5.299999999999727,12,0,Chinese,3,1
3545,2.600000000000364,12,0,Chinese,4,1
3545,12.199999999999818,17,0,Chinese,1,1
3545,0.7000000000002728,17,0,Chinese,3,1
3545,6.699999999999818,17,0,Chinese,4,1
3545,0.599999999999909,17,0,Chinese,5,1
3545,4.699999999999818,21,2,Chinese,2,1
3545,5.199999999999818,22,0,Chinese,4,1
3545,2.0,23,3,Chinese,4,1
3545,1.900000000000091,26,2,Chinese,2,1
3545,0.599999999999909,27,0,Chinese,1,1
3545,7.900000000000091,27,0,Chinese,2,1
3545,1.1000000000003638,27,0,Chinese,4,1
3545,2.6000000000000014,28,3,Chinese,4,1
3545,1.1000000000000014,28,3,Chinese,5,1
3545,2.3999999999999986,29,4,Chinese,2,1
132,22.0,3,0,Chinese,2,1
132,2.400000000000091,3,0,Chinese,3,1
132,4.599999999999909,3,0,Chinese,4,1
132,36.40000000000009,3,0,Chinese,5,1
132,11.599999999999909,5,3,Chinese,3,1
132,1.0,5,3,Chinese,5,1
132,2.7999999999999545,6,4,Chinese,2,1
132,4.400000000000091,7,2,Chinese,1,1
132,3.400000000000091,7,2,Chinese,2,1
132,0.8000000000001819,8,0,Chinese,1,1
132,10.0,8,0,Chinese,3,1
132,1.199999999999818,8,0,Chinese,4,1
132,4.800000000000182,10,3,Chinese,4,1
132,4.800000000000182,11,4,Chinese,2,1
132,13.0,11,4,Chinese,4,1
132,0.8999999999998636,12,2,Chinese,2,1
132,0.7999999999999545,13,0,Chinese,2,1
132,3.2999999999999545,13,0,Chinese,4,1
132,0.8999999999998636,15,3,Chinese,3,1
132,1.0,15,3,Chinese,4,1
132,1.0,15,3,Chinese,5,1
132,0.900000000000091,16,4,Chinese,4,1
132,2.5,17,2,Chinese,1,1
132,0.8000000000001819,17,2,Chinese,2,1
132,1.2000000000000455,18,0,Chinese,1,1
132,1.400000000000091,18,0,Chinese,4,1
132,5.2000000000000455,20,3,Chinese,3,1
132,0.7999999999999545,21,4,Chinese,4,1
132,1.2000000000002728,23,0,Chinese,2,1
132,11.599999999999909,25,3,Chinese,4,1
132,0.599999999999909,26,4,Chinese,4,1
132,1.0,28,0,Chinese,5,1
132,6.600000000000364,30,3,Chinese,3,1
132,0.599999999999909,30,3,Chinese,4,1
1586,5.5,2,3,Chinese,4,1
1586,14.799999999999955,4,2,Chinese,1,1
1586,2.2000000000000455,4,2,Chinese,2,1
1586,11.5,5,4,Chinese,2,1
1586,4.399999999999864,7,3,Chinese,5,1
1586,1.7999999999999545,9,2,Chinese,1,1
1586,4.100000000000136,9,2,Chinese,2,1
1586,6.600000000000136,10,4,Chinese,4,1
1586,2.800000000000182,11,0,Chinese,1,1
1586,11.799999999999955,11,0,Chinese,5,1
1586,0.8999999999998636,11,0,Chinese,4,1
1586,3.0,11,0,Chinese,2,1
1586,12.799999999999955,14,2,Chinese,2,1
1586,1.5,15,4,Chinese,4,1
1586,2.7999999999999545,16,0,Chinese,1,1
1586,3.1000000000001364,16,0,Chinese,2,1
1586,6.899999999999864,16,0,Chinese,3,1
1586,6.600000000000136,16,0,Chinese,4,1
1586,6.2000000000000455,16,0,Chinese,5,1
1586,1.7000000000000455,17,3,Chinese,3,1
1586,7.599999999999909,17,3,Chinese,4,1
1586,12.600000000000136,17,3,Chinese,5,1
1586,0.7999999999999545,19,2,Chinese,1,1
1586,1.400000000000091,21,0,Chinese,1,1
1586,4.199999999999818,22,3,Chinese,5,1
1586,6.900000000000091,25,4,Chinese,4,1
1586,22.300000000000182,26,0,Chinese,1,1
1586,4.199999999999818,26,0,Chinese,2,1
1586,2.300000000000182,26,0,Chinese,3,1
1586,5.699999999999818,26,0,Chinese,4,1
1586,0.8000000000001819,26,0,Chinese,5,1
1586,9.0,27,3,Chinese,5,1
1586,5.599999999999909,30,4,Chinese,4,1
2068,5.399999999999977,4,0,Chinese,1,1
2068,3.8000000000000114,4,0,Chinese,5,1
2068,3.599999999999966,6,3,Chinese,5,1
2068,3.2999999999999545,10,2,Chinese,2,1
2068,9.700000000000045,13,4,Chinese,2,1
2068,12.599999999999909,13,4,Chinese,4,1
2068,3.1000000000000227,14,0,Chinese,1,1
2068,2.8999999999999773,14,0,Chinese,2,1
2068,3.7999999999999545,14,0,Chinese,5,1
2068,3.1000000000000227,15,2,Chinese,1,1
2068,10.599999999999909,16,3,Chinese,3,1
2068,9.399999999999977,18,4,Chinese,4,1
2068,2.1000000000000227,21,3,Chinese,5,1
5385,30.0,2,0,Chinese,3,1
5385,27.300000000000182,3,3,Chinese,4,1
5385,7.600000000000136,7,0,Chinese,3,1
5385,6.599999999999909,9,4,Chinese,4,1
5385,8.299999999999955,11,2,Chinese,2,1
5385,4.2999999999999545,14,4,Chinese,2,1
5385,1.3999999999998636,14,4,Chinese,4,1
5385,2.299999999999727,17,0,Chinese,2,1
5385,1.0,17,0,Chinese,3,1
5385,0.8000000000001819,17,0,Chinese,4,1
5385,0.900000000000091,17,0,Chinese,5,1
5385,14.700000000000273,18,3,Chinese,3,1
5385,1.0,18,3,Chinese,4,1
5385,0.6999999999998181,18,3,Chinese,5,1
5385,14.099999999999909,23,3,Chinese,3,1
5385,26.59999999999991,23,3,Chinese,4,1
5385,14.599999999999909,23,3,Chinese,5,1
5385,2.0,24,4,Chinese,2,1
5385,0.6000000000003638,24,4,Chinese,4,1
2591,1.2999999999997272,1,0,Chinese,3,1
2591,3.900000000000091,1,0,Chinese,4,1
2591,3.6999999999999993,4,2,Chinese,2,1
2591,2.8999999999999986,5,4,Chinese,2,1
2591,3.299999999999983,9,2,Chinese,1,1
2591,2.5,9,2,Chinese,2,1
2591,1.8999999999999773,12,3,Chinese,3,1
2591,4.800000000000011,12,3,Chinese,4,1
2591,11.300000000000011,12,3,Chinese,5,1
2591,3.099999999999966,14,2,Chinese,2,1
2591,2.5,15,4,Chinese,2,1
2591,7.900000000000034,16,0,Chinese,1,1
2591,3.7999999999999545,16,0,Chinese,3,1
2591,1.8999999999999773,17,3,Chinese,4,1
2591,4.800000000000011,17,3,Chinese,5,1
2591,3.1999999999999886,21,0,Chinese,2,1
2591,4.5,21,0,Chinese,4,1
2591,6.400000000000034,22,3,Chinese,3,1
2591,1.8000000000000114,22,3,Chinese,4,1
2591,1.5,22,3,Chinese,5,1
2591,3.000000000000057,25,4,Chinese,4,1
2591,9.100000000000023,29,2,Chinese,1,1
2591,3.7999999999999545,29,2,Chinese,2,1
671,8.5,1,0,Chinese,1,1
671,11.199999999999818,1,0,Chinese,3,1
671,3.099999999999909,1,0,Chinese,4,1
671,11.5,1,0,Chinese,5,1
671,5.600000000000364,2,3,Chinese,4,1
671,1.2999999999997272,2,3,Chinese,5,1
671,5.699999999999818,4,2,Chinese,2,1
671,14.699999999999818,5,4,Chinese,2,1
671,10.399999999999999,6,0,Chinese,1,1
671,6.5,6,0,Chinese,3,1
671,9.900000000000006,7,3,Chinese,3,1
671,0.6999999999999886,7,3,Chinese,4,1
671,2.700000000000017,9,2,Chinese,2,1
671,0.9000000000000057,10,4,Chinese,4,1
671,8.0,11,0,Chinese,1,1
671,10.399999999999977,11,0,Chinese,2,1
671,6.300000000000011,11,0,Chinese,4,1
671,3.8999999999999773,12,3,Chinese,4,1
671,0.6999999999999886,12,3,Chinese,3,1
671,7.7999999999999545,14,2,Chinese,2,1
671,7.0,15,4,Chinese,2,1
671,11.800000000000011,15,4,Chinese,4,1
671,1.1999999999999886,16,0,Chinese,1,1
671,2.2000000000000455,16,0,Chinese,3,1
671,5.199999999999989,16,0,Chinese,4,1
671,0.8000000000000114,16,0,Chinese,5,1
671,11.300000000000068,17,3,Chinese,3,1
671,13.199999999999932,17,3,Chinese,5,1
671,12.0,19,2,Chinese,2,1
671,2.300000000000068,20,4,Chinese,2,1
671,1.6000000000000227,21,0,Chinese,2,1
671,6.600000000000023,21,0,Chinese,3,1
671,0.7999999999999545,21,0,Chinese,4,1
671,13.600000000000023,22,3,Chinese,3,1
671,6.600000000000023,22,3,Chinese,5,1
671,3.1000000000000227,24,2,Chinese,2,1
671,3.0,25,4,Chinese,2,1
671,7.7000000000000455,26,0,Chinese,1,1
671,4.0,26,0,Chinese,3,1
671,8.400000000000091,26,0,Chinese,4,1
671,1.1999999999999318,27,3,Chinese,4,1
671,7.7999999999999545,29,2,Chinese,1,1
671,4.7000000000000455,29,2,Chinese,2,1
